y,y_pred
42697,42697.0
27505,27505.0
31253,31253.0
42881,42881.0
33410,33410.0
35577,35577.0
36994,36994.0
12783,12783.0
17128,17128.0
17784,17784.0
23438,23438.0
22356,22356.0
43577,43577.0
34848,34848.0
37011,37011.0
32927,32927.0
27405,27405.0
35805,35805.0
42414,42414.0
22900,22900.0
6930,6930.0
17211,17211.0
57532,57532.0
23592,23592.0
43821,43821.0
29995,29995.0
36096,36096.0
46907,46907.0
27415,27415.0
39730,39730.0
14505,14505.0
45504,45504.0
43795,43795.0
15332,15332.0
19223,19223.0
46231,46231.0
30725,30725.0
21445,21445.0
38244,38244.0
23700,23700.0
13893,13893.0
16420,16420.0
33128,33128.0
41746,41746.0
44808,44808.0
40497,40497.0
49357,49357.0
39489,39489.0
34902,34902.0
26947,26947.0
44550,44550.0
37866,37866.0
39762,39762.0
36064,36064.0
66327,66327.0
53814,53814.0
39210,39210.0
24822,24822.0
21028,21028.0
25079,25079.0
42873,42873.0
32217,32217.0
20460,20460.0
37057,37057.0
28427,28427.0
44932,44932.0
22995,22995.0
15689,15689.0
22510,22510.0
57746,57746.0
12192,12192.0
48148,48148.0
36336,36336.0
15213,15213.0
22007,22007.0
35898,35898.0
33336,33336.0
37071,37071.0
29198,29198.0
44988,44988.0
56810,56810.0
35444,35444.0
51242,51242.0
29653,29653.0
39676,39676.0
8524,8524.0
36800,36800.0
31534,31534.0
46655,46655.0
