y,y_pred
42697,42454.06
27505,33302.38
31253,34224.65
42881,37425.72
33410,35621.55
35577,34716.36
36994,38731.29
12783,15357.73
17128,20767.89
17784,27072.21
23438,26768.7
22356,22179.04
43577,41596.84
34848,39150.76
37011,32614.67
32927,35152.71
27405,26899.09
35805,40247.83
42414,38073.98
22900,26247.94
6930,12339.53
17211,18174.02
57532,51662.67
23592,23021.28
43821,48312.85
29995,31772.09
36096,34610.46
46907,43515.25
27415,34136.24
39730,29285.21
14505,18958.68
45504,42852.91
43795,40715.79
15332,16673.02
19223,23148.26
46231,41569.08
30725,28630.66
21445,19248.62
38244,36601.7
23700,23428.36
13893,14512.66
16420,21414.6
33128,29615.15
41746,40285.81
44808,35024.62
40497,40907.36
49357,44596.76
39489,39617.22
34902,38324.32
26947,28069.82
44550,42246.94
37866,31864.37
39762,39033.33
36064,38921.3
66327,57074.31
53814,55677.01
39210,35102.19
24822,29927.26
21028,27917.49
25079,32946.24
42873,38886.69
32217,33975.1
20460,25197.59
37057,39482.94
28427,28862.38
44932,40838.7
22995,28990.27
15689,22310.1
22510,24685.21
57746,50766.99
12192,16994.49
48148,43274.13
36336,35295.99
15213,15510.34
22007,25325.05
35898,35335.2
33336,35085.72
37071,35932.16
29198,32620.25
44988,41763.0
56810,52453.49
35444,28976.9
51242,45404.02
29653,34274.94
39676,40501.68
8524,11202.78
36800,34285.91
31534,32981.38
46655,43769.42
